,,GMT,,Local,,,,Lat,Long,Elev (m),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1,1/4/2008,23:03:11,1/4/2008,16:03:11,N/A,N/A,N/A,N/A,N/A,N/A,48.6,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.36,3.58,13,0.001,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
b1,1/5/2008,2:01:43,1/4/2008,19:01:43,N/A,N/A,N/A,N/A,N/A,N/A,48.6,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.36,3.58,8,0.998,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
b1,1/5/2008,5:03:11,1/4/2008,22:03:11,N/A,N/A,N/A,N/A,N/A,N/A,48.6,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.34,3.58,10,0.998,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
b1,1/5/2008,9:03:11,1/5/2008,2:03:11,N/A,N/A,N/A,N/A,N/A,N/A,48.6,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38,3.62,16,0.997,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
b1,1/5/2008,12:03:11,1/5/2008,5:03:11,N/A,N/A,N/A,N/A,N/A,N/A,48.6,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38,3.64,17,0.997,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
b1,1/5/2008,15:03:11,1/5/2008,8:03:11,N/A,N/A,N/A,N/A,N/A,N/A,48.6,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38,3.6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
b1,1/5/2008,18:01:43,1/5/2008,11:01:43,N/A,N/A,N/A,N/A,N/A,N/A,48.6,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38,3.6,12,0.998,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
b1,1/5/2008,23:16:58,1/5/2008,16:16:58,-2089357,-4196608,4312299,43.67343369,-115.5835594,1373.49,3,3D,Yes,6,6,35,15,35,16,35,18,38,21,38,24,32,0,0,0,0,0,0,0,0,0,0,0,0,3.4,3.6,24,0.999,21399285,22009296,23278316,21216573,20570530,21520418,0,0,0,0,0,0,N/A,N/A
b1,1/6/2008,2:03:06,1/5/2008,19:03:06,N/A,N/A,N/A,N/A,N/A,N/A,48.6,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.36,3.58,15,0.998,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
b1,1/6/2008,5:01:38,1/5/2008,22:01:38,N/A,N/A,N/A,N/A,N/A,N/A,48.6,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42,3.6,27,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
b1,1/6/2008,9:03:06,1/6/2008,2:03:06,N/A,N/A,N/A,N/A,N/A,N/A,48.6,No,No,2,13,35,23,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,3.66,16,0.002,21891542,21317012,0,0,0,0,0,0,0,0,0,0,N/A,N/A
b1,1/6/2008,12:02:18,1/6/2008,5:02:18,-2089384,-4196674,4312330,43.49679314,-116.3356668,1446.73,12.8,3D,No,5,8,38,13,38,25,44,27,41,28,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38,3.62,14,0,21371192,23259184,21839617,21529715,22591085,0,0,0,0,0,0,0,N/A,N/A
b1,1/6/2008,15:03:06,1/6/2008,8:03:06,N/A,N/A,N/A,N/A,N/A,N/A,48.6,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38,3.6,17,0.001,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
b1,1/6/2008,18:03:06,1/6/2008,11:03:06,N/A,N/A,N/A,N/A,N/A,N/A,48.6,No,No,2,2,38,9,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42,3.62,24,0.009,23100996,24878270,0,0,0,0,0,0,0,0,0,0,N/A,N/A
b1,1/6/2008,23:01:42,1/6/2008,16:01:42,-2089357,-4196619,4312301,43.18673937,-115.5285668,1382.07,3.2,3D,Yes,6,6,38,15,44,21,35,22,35,24,41,29,41,0,0,0,0,0,0,0,0,0,0,0,0,3.42,3.6,22,0.005,22832372,23839700,22390156,25908418,23029872,24810054,0,0,0,0,0,0,-1162802,424806
b1,1/7/2008,2:03:10,1/6/2008,19:03:10,N/A,N/A,N/A,N/A,N/A,N/A,48.6,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38,3.58,21,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
b1,1/7/2008,5:03:10,1/6/2008,22:03:10,N/A,N/A,N/A,N/A,N/A,N/A,48.6,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38,3.6,16,0.998,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
b1,1/7/2008,9:03:10,1/7/2008,2:03:10,N/A,N/A,N/A,N/A,N/A,N/A,48.6,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.36,3.62,11,0.999,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
b1,1/7/2008,12:03:10,1/7/2008,5:03:10,N/A,N/A,N/A,N/A,N/A,N/A,48.6,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38,3.62,18,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
b1,1/7/2008,15:01:42,1/7/2008,8:01:42,N/A,N/A,N/A,N/A,N/A,N/A,48.6,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42,3.6,29,0.998,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
b1,1/7/2008,18:03:10,1/7/2008,11:03:10,N/A,N/A,N/A,N/A,N/A,N/A,48.6,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38,3.6,17,0.001,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
b1,1/7/2008,23:00:48,1/7/2008,16:00:48,-2088958,-4196258,4312777,43.63739009,-116.2823492,1337.96,6.6,3D,Yes,6,6,41,15,38,18,38,24,41,26,41,29,35,0,0,0,0,0,0,0,0,0,0,0,0,3.42,3.6,17,0.999,21381474,22270179,21568307,21555634,21881191,23212889,0,0,0,0,0,0,N/A,N/A
b1,1/8/2008,2:03:04,1/7/2008,19:03:04,N/A,N/A,N/A,N/A,N/A,N/A,48.6,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,3.6,24,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
b1,1/8/2008,5:02:18,1/7/2008,22:02:18,-2088965,-4196280,4312733,42.84790825,-116.4368799,1324.79,3.6,3D,No,4,1,35,11,44,22,35,31,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42,3.58,25,0.994,18745350,20026255,21711868,18696855,0,0,0,0,0,0,0,0,N/A,N/A
b1,1/8/2008,9:03:06,1/8/2008,2:03:06,N/A,N/A,N/A,N/A,N/A,N/A,48.6,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38,3.62,20,0.998,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
