No,GMT Date,GMT Time,LMT Date,LMT Time,ECEF X,ECEF Y,ECEF Z,Latitude,Longitude,Height,DOP,Nav,Validated,Sats,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Main,Bkup,Temp,Clockoffset,Pseudo01,Pseudo02,Pseudo03,Pseudo04,Pseudo05,Pseudo06,Pseudo07,Pseudo08,Pseudo09,Pseudo10,Pseudo11,Pseudo12   Remarks
,mm/dd/yyyy,hh:mm:ss,mm/dd/yyyy,hh:mm:ss,[m],[m],[m],[?],[?],[m],,,,used,No,db,No,db,No,db,No,db,No,db,No,db,No,db,No,db,No,db,No,db,No,db,No,db,[V],[V],[?C],[s],[m],[m],[m],[m],[m],[m],[m],[m],[m],[m],[m],[m]
-----,-----------,---------,-----------,---------,----------,-----------,----------,------------,--------------,--------,-----,------,----------,-----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,------,------,-----,------------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,--------------------
c,11/28/2008,21:02:54,11/28/2008,15:02:54,-2095727,-4192546,4313401,43.60517269,-116.3545861,1541.88,5.4,3D,Yes,5,2,44,10,41,24,41,29,38,30,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,3.56,5,0.995,19480139,21146347,21440829,21643740,19864166,0,0,0,0,0,0,0
c,11/29/2008,1:03:08,11/28/2008,19:03:08,-2095939,-4192275,4313605,43.02047787,-116.222168,1572.25,5.8,3D,No,4,15,41,18,41,22,38,26,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42,3.58,22,0.993,19914819,19049027,21179359,19941730,0,0,0,0,0,0,0,0
c,11/29/2008,4:03:08,11/28/2008,22:03:08,N/A,N/A,N/A,N/A,N/A,N/A,48.6,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42,3.6,26,0.998,0,0,0,0,0,0,0,0,0,0,0,0
c,11/29/2008,6:03:08,11/29/2008,0:03:08,N/A,N/A,N/A,N/A,N/A,N/A,2.6,No,No,3,14,41,22,44,31,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,3.58,9,0.99,20292631,21765605,20711336,0,0,0,0,0,0,0,0,0
c,11/29/2008,8:01:11,11/29/2008,2:01:11,-2095494,-4190737,4315286,43.61166272,-115.959269,1560.09,2.4,3D,Yes,5,11,35,14,32,16,35,20,41,31,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42,3.6,6,0.008,25759451,26386733,25615518,22920117,23378011,22665481,0,0,0,0,0,0
c,11/29/2008,10:03:04,11/29/2008,4:03:04,N/A,N/A,N/A,N/A,N/A,N/A,48.6,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42,3.6,7,0.001,0,0,0,0,0,0,0,0,0,0,0,0
c,11/29/2008,12:01:43,11/29/2008,6:01:43,-2093399,-4189339,4317892,42.87767346,-116.1233378,1729,7.6,3D,Yes,5,7,38,13,41,23,38,25,35,27,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42,3.6,10,0.004,21623998,21343798,22548531,21776798,22851754,0,0,0,0,0,0,0
c,11/29/2008,14:00:53,11/29/2008,8:00:53,-2092967,-4189318,4318252,42.89568768,-116.1402807,1818.64,2.4,3D,Yes,7,7,41,8,41,10,38,25,41,26,35,27,38,28,41,0,0,0,0,0,0,0,0,0,0,3.44,3.56,13,0.992,19212643,18524604,22508315,20597403,20982277,18989400,19604057,0,0,0,0,0
