Device Name,Device ID,Date & Time [GMT],Date & Time [Local],Latitude,Longitude,Altitude,Fix Status,DOP,Temp [C],Main [V],Back [V]
WHI-29,43686,43374.292,43374.00034,48.8839761,-114.8124914,1481.51,3D-V Fix,2,6,3.36,3.36
WHI-07,43718,43374.292,43374.00034,48.6629258,-114.5397467,1545.72,3D-V Fix,3.4,4,3.36,3.28
WHI-26,43719,43374.292,43374.00034,49.1850453,-114.6518483,1978.27,3D-V Fix,3.2,2,3.36,3.28
WHI-29,43686,43374.83389,43374.54222,48.8840303,-114.8127856,1493.52,3D-V Fix,2.4,12,3.36,3.36
WHI-07,43718,43374.83403,43374.54236,48.6671697,-114.5361303,1595.29,3D-V Fix,7.6,12,3.36,3.36
WHI-26,43719,43374.83424,43374.54257,49.1888344,-114.6524947,2063.48,3D-V Fix,2.8,8,3.36,3.28
WHI-29,43686,43375.37534,43375.08367,48.8841344,-114.8126819,1484.72,3D-V Fix,2,12,3.44,3.36
WHI-26,43719,43375.37556,43375.08389,49.1946344,-114.6448608,2054.64,3D-V Fix,2.2,6,3.36,3.28
WHI-07,43718,43375.37563,43375.08396,48.6616278,-114.5214011,1767.3,3D-V Fix,2.2,7,3.36,3.28
WHI-07,43718,43375.91758,43375.62591,48.6637064,-114.5147414,2093.97,3D-V Fix,2.2,6,3.36,3.28
WHI-12,43717,43375.91759,43375.62593,48.8890989,-114.735205,1719.51,3D-V Fix,3.2,9,3.36,3.36
WHI-29,43686,43375.91813,43375.62646,48.8839911,-114.8131903,1495.99,3D Fix,5.8,9,3.36,3.28
WHI-07,43718,43376.45883,43376.16716,48.65631,-114.5188928,1890.81,3D-V Fix,2.4,0,3.28,3.28
WHI-12,43717,43376.45931,43376.16764,48.8891989,-114.7387831,1701.83,3D-V Fix,2,-2,3.28,3.28
