Data Number,Date (GMT),Time (GMT),Date (LMT),Time (LMT),ECEF X (m),ECEF Y(m),ECEF Z(m),Latitude,Longitude,Altitude (m),DOP,Navigation,Validated,No. Satellites,,dbHz,,,,,,,,,,,,,,,,,,,,,,,Main Voltage,Backup voltage,Temperature (Celcius)
1,09.12.2015,17:30:38,09.12.2015,10:30:38,-1629683,-4329588,4379033,43.6202559,-110.6266398,2013.79,3,3D,Yes,6,5,29,13,29,15,38,18,44,26,35,29,38,0,0,0,0,0,0,0,0,0,0,0,0,3.44,3.56,14
2,09.12.2015,18:00:16,09.12.2015,11:00:16,-1629685,-4329590,4379038,43.6202725,-110.6266542,2019.1,2.2,3D,Yes,5,13,29,15,38,18,44,26,35,29,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,3.56,10
3,09.12.2015,18:30:30,09.12.2015,11:30:30,-1629684,-4329587,4379038,43.6202921,-110.6266557,2016.81,1.2,3D,Yes,12,10,41,13,29,14,35,15,35,16,32,18,41,20,32,21,38,22,41,24,29,27,38,29,38,3.42,3.54,10
4,09.12.2015,19:00:05,09.12.2015,12:00:05,-1629684,-4329587,4379037,43.6202856,-110.6266557,2016.12,1.2,3D,Yes,12,10,41,13,29,14,35,15,32,16,29,18,38,20,29,21,38,22,41,24,29,27,41,29,32,3.42,3.54,11
5,09.12.2015,19:30:12,09.12.2015,12:30:12,-1629687,-4329592,4379040,43.6202696,-110.6266687,2022.35,2,3D,Yes,9,10,41,14,38,15,29,18,35,20,29,21,38,22,41,24,29,27,41,0,0,0,0,0,0,3.42,3.54,10
6,09.12.2015,20:00:13,09.12.2015,13:00:13,-1629684,-4329588,4379039,43.6202928,-110.6266514,2018.18,3,3D,Yes,7,10,44,14,44,18,44,21,38,22,41,24,29,27,41,0,0,0,0,0,0,0,0,0,0,3.42,3.54,11
7,09.12.2015,20:30:05,09.12.2015,13:30:05,-1629685,-4329586,4379040,43.6203088,-110.6266717,2017.77,1.8,3D,Yes,8,10,38,14,41,15,29,18,35,21,32,22,41,24,29,27,38,0,0,0,0,0,0,0,0,3.42,3.54,10
8,09.12.2015,21:00:13,09.12.2015,14:00:13,-1629681,-4329584,4379037,43.6203096,-110.626634,2013.33,2,3D,Yes,7,10,41,14,41,18,29,21,29,22,41,24,29,27,38,0,0,0,0,0,0,0,0,0,0,3.42,3.56,9
9,09.12.2015,21:30:30,09.12.2015,14:30:30,-1629683,-4329585,4379037,43.6202994,-110.6266529,2014.51,1.8,3D,Yes,9,1,35,8,35,10,44,11,38,14,41,18,32,22,41,27,38,31,38,0,0,0,0,0,0,3.4,3.54,9
10,09.12.2015,22:00:13,09.12.2015,15:00:13,-1629682,-4329584,4379035,43.6202944,-110.6266456,2012.2,1.4,3D,Yes,9,1,38,8,35,10,38,11,44,14,35,18,29,22,38,24,29,31,38,0,0,0,0,0,0,3.42,3.54,8
11,09.12.2015,22:30:05,09.12.2015,15:30:05,-1629679,-4329577,4379028,43.620296,-110.6266414,2001.86,2,3D,Yes,7,1,38,8,29,10,38,11,44,18,29,22,41,31,41,0,0,0,0,0,0,0,0,0,0,3.42,3.54,7
